Freq,Channel 1,Average
0,-116.22,-116.22
0.73,-116.04,-116.04
1.46,-116.09,-116.09
2.2,-115.46,-115.46
2.93,-115.57,-115.57
3.66,-115.5,-115.5
4.39,-115.78,-115.78
5.13,-117.02,-117.02
5.86,-115.9,-115.9
6.59,-113.97,-113.97
7.32,-112.87,-112.87
8.06,-112.66,-112.66
8.79,-112.02,-112.02
9.52,-111.57,-111.57
10.25,-111.56,-111.56
10.99,-111.66,-111.66
11.72,-111.31,-111.31
12.45,-109.71,-109.71
13.18,-107.87,-107.87
13.92,-107.19,-107.19
14.65,-107.15,-107.15
15.38,-106.41,-106.41
16.11,-106.19,-106.19
16.85,-106.92,-106.92
17.58,-107.09,-107.09
18.31,-106.7,-106.7
19.04,-106.26,-106.26
19.78,-105.21,-105.21
20.51,-104.79,-104.79
21.24,-106.03,-106.03
21.97,-107.28,-107.28
22.71,-104.77,-104.77
23.44,-102.19,-102.19
24.17,-100.72,-100.72
24.9,-98.08,-98.08
25.63,-94.32,-94.32
26.37,-90.94,-90.94
27.1,-88.32,-88.32
27.83,-85.76,-85.76
28.56,-83.03,-83.03
29.3,-81,-81
30.03,-80.02,-80.02
30.76,-79.64,-79.64
31.49,-79,-79
32.23,-78.39,-78.39
32.96,-78.26,-78.26
33.69,-78.11,-78.11
34.42,-77.3,-77.3
35.16,-76.01,-76.01
35.89,-75.3,-75.3
36.62,-75.64,-75.64
37.35,-76.17,-76.17
38.09,-75.77,-75.77
38.82,-74.85,-74.85
39.55,-74.34,-74.34
40.28,-74.48,-74.48
41.02,-75.1,-75.1
41.75,-76.36,-76.36
42.48,-78.68,-78.68
43.21,-82.48,-82.48
43.95,-88,-88
44.68,-88.91,-88.91
45.41,-85.29,-85.29
46.14,-82.64,-82.64
46.88,-81.11,-81.11
47.61,-80.44,-80.44
48.34,-79.9,-79.9
49.07,-79.06,-79.06
49.8,-78,-78
50.54,-76.83,-76.83
51.27,-75.68,-75.68
52,-74.61,-74.61
52.73,-73.58,-73.58
53.47,-72.57,-72.57
54.2,-71.61,-71.61
54.93,-70.7,-70.7
55.66,-69.81,-69.81
56.4,-68.93,-68.93
57.13,-68.11,-68.11
57.86,-67.35,-67.35
58.59,-66.6,-66.6
59.33,-65.79,-65.79
60.06,-64.88,-64.88
60.79,-63.83,-63.83
61.52,-62.86,-62.86
62.26,-62.2,-62.2
62.99,-61.69,-61.69
63.72,-61.03,-61.03
64.45,-60.42,-60.42
65.19,-60.24,-60.24
65.92,-60.61,-60.61
66.65,-61.38,-61.38
67.38,-62.32,-62.32
68.12,-63.27,-63.27
68.85,-64.12,-64.12
69.58,-64.82,-64.82
70.31,-65.45,-65.45
71.04,-66.13,-66.13
71.78,-66.85,-66.85
72.51,-67.53,-67.53
73.24,-68.17,-68.17
73.97,-68.82,-68.82
74.71,-69.41,-69.41
75.44,-69.74,-69.74
76.17,-69.69,-69.69
76.9,-69.5,-69.5
77.64,-69.41,-69.41
78.37,-69.52,-69.52
79.1,-69.84,-69.84
79.83,-70.3,-70.3
80.57,-70.79,-70.79
81.3,-71.21,-71.21
82.03,-71.53,-71.53
82.76,-71.77,-71.77
83.5,-72.08,-72.08
84.23,-72.58,-72.58
84.96,-73.3,-73.3
85.69,-74.27,-74.27
86.43,-75.4,-75.4
87.16,-76.41,-76.41
87.89,-77.03,-77.03
88.62,-77.24,-77.24
89.36,-77.26,-77.26
90.09,-77.04,-77.04
90.82,-76.86,-76.86
91.55,-76.59,-76.59
92.29,-76.19,-76.19
93.02,-76.01,-76.01
93.75,-76.2,-76.2
94.48,-76.74,-76.74
95.21,-77.71,-77.71
95.95,-79.06,-79.06
96.68,-80.67,-80.67
97.41,-82.63,-82.63
98.14,-85.09,-85.09
98.88,-87.98,-87.98
99.61,-89.9,-89.9
100.34,-89.17,-89.17
101.07,-88,-88
101.81,-87.4,-87.4
102.54,-86.76,-86.76
103.27,-85.65,-85.65
104,-84.29,-84.29
104.74,-83.01,-83.01
105.47,-82.01,-82.01
106.2,-81.24,-81.24
106.93,-80.44,-80.44
107.67,-79.43,-79.43
108.4,-78.18,-78.18
109.13,-76.8,-76.8
109.86,-75.36,-75.36
110.6,-73.92,-73.92
111.33,-72.62,-72.62
112.06,-71.5,-71.5
112.79,-70.71,-70.71
113.53,-70.14,-70.14
114.26,-69.63,-69.63
114.99,-69.12,-69.12
115.72,-68.63,-68.63
116.46,-68.32,-68.32
117.19,-68.33,-68.33
117.92,-68.55,-68.55
118.65,-68.73,-68.73
119.38,-68.85,-68.85
120.12,-68.94,-68.94
120.85,-69.08,-69.08
121.58,-69.27,-69.27
122.31,-69.37,-69.37
123.05,-69.29,-69.29
123.78,-69.12,-69.12
124.51,-69.04,-69.04
125.24,-68.97,-68.97
125.98,-68.96,-68.96
126.71,-69.11,-69.11
127.44,-69.31,-69.31
128.17,-69.49,-69.49
128.91,-69.68,-69.68
129.64,-69.86,-69.86
130.37,-70.06,-70.06
131.1,-70.39,-70.39
131.84,-70.85,-70.85
132.57,-71.25,-71.25
133.3,-71.66,-71.66
134.03,-72.22,-72.22
134.77,-72.9,-72.9
135.5,-73.77,-73.77
136.23,-74.84,-74.84
136.96,-75.83,-75.83
137.7,-76.59,-76.59
138.43,-77.47,-77.47
139.16,-78.94,-78.94
139.89,-80.31,-80.31
140.63,-81.13,-81.13
141.36,-82.61,-82.61
142.09,-84.53,-84.53
142.82,-85.76,-85.76
143.55,-86.08,-86.08
144.29,-85.88,-85.88
145.02,-84.6,-84.6
145.75,-82.64,-82.64
146.48,-80.93,-80.93
147.22,-79.43,-79.43
147.95,-78.28,-78.28
148.68,-76.86,-76.86
149.41,-75.59,-75.59
150.15,-74.9,-74.9
150.88,-74.26,-74.26
151.61,-73.52,-73.52
152.34,-72.91,-72.91
153.08,-72.34,-72.34
153.81,-71.65,-71.65
154.54,-70.96,-70.96
155.27,-70.29,-70.29
156.01,-69.49,-69.49
156.74,-68.63,-68.63
157.47,-67.94,-67.94
158.2,-67.43,-67.43
158.94,-67.02,-67.02
159.67,-66.67,-66.67
160.4,-66.37,-66.37
161.13,-66.11,-66.11
161.87,-65.95,-65.95
162.6,-65.84,-65.84
163.33,-65.83,-65.83
164.06,-65.9,-65.9
164.79,-65.97,-65.97
165.53,-66.05,-66.05
166.26,-66.15,-66.15
166.99,-66.24,-66.24
167.72,-66.29,-66.29
168.46,-66.31,-66.31
169.19,-66.33,-66.33
169.92,-66.34,-66.34
170.65,-66.37,-66.37
171.39,-66.42,-66.42
172.12,-66.45,-66.45
172.85,-66.48,-66.48
173.58,-66.53,-66.53
174.32,-66.59,-66.59
175.05,-66.65,-66.65
175.78,-66.71,-66.71
176.51,-66.78,-66.78
177.25,-66.89,-66.89
177.98,-67.03,-67.03
178.71,-67.2,-67.2
179.44,-67.47,-67.47
180.18,-67.87,-67.87
180.91,-68.39,-68.39
181.64,-69.04,-69.04
182.37,-69.87,-69.87
183.11,-70.85,-70.85
183.84,-71.82,-71.82
184.57,-72.62,-72.62
185.3,-73.12,-73.12
186.04,-73.33,-73.33
186.77,-73.28,-73.28
187.5,-73.04,-73.04
188.23,-72.72,-72.72
188.96,-72.37,-72.37
189.7,-72.03,-72.03
190.43,-71.74,-71.74
191.16,-71.55,-71.55
191.89,-71.42,-71.42
192.63,-71.28,-71.28
193.36,-71.16,-71.16
194.09,-71.07,-71.07
194.82,-70.99,-70.99
195.56,-70.91,-70.91
196.29,-70.84,-70.84
197.02,-70.85,-70.85
197.75,-70.96,-70.96
198.49,-71.19,-71.19
199.22,-71.59,-71.59
199.95,-72.13,-72.13
200.68,-72.83,-72.83
201.42,-73.7,-73.7
202.15,-74.72,-74.72
202.88,-75.9,-75.9
203.61,-77.3,-77.3
204.35,-79.05,-79.05
205.08,-81.25,-81.25
205.81,-83.88,-83.88
206.54,-86.49,-86.49
207.28,-86.52,-86.52
208.01,-83.58,-83.58
208.74,-80.55,-80.55
209.47,-78.19,-78.19
210.21,-76.52,-76.52
210.94,-75.39,-75.39
211.67,-74.64,-74.64
212.4,-74.15,-74.15
213.13,-73.8,-73.8
213.87,-73.54,-73.54
214.6,-73.3,-73.3
215.33,-73.07,-73.07
216.06,-72.82,-72.82
216.8,-72.56,-72.56
217.53,-72.31,-72.31
218.26,-72.04,-72.04
218.99,-71.76,-71.76
219.73,-71.49,-71.49
220.46,-71.23,-71.23
221.19,-70.99,-70.99
221.92,-70.8,-70.8
222.66,-70.66,-70.66
223.39,-70.54,-70.54
224.12,-70.47,-70.47
224.85,-70.41,-70.41
225.59,-70.36,-70.36
226.32,-70.32,-70.32
227.05,-70.28,-70.28
227.78,-70.16,-70.16
228.52,-69.95,-69.95
229.25,-69.68,-69.68
229.98,-69.42,-69.42
230.71,-69.19,-69.19
231.45,-68.97,-68.97
232.18,-68.77,-68.77
232.91,-68.61,-68.61
233.64,-68.53,-68.53
234.38,-68.56,-68.56
