Freq,Channel 1,Average
166.99,-60.29,-60.29
167.72,-60.41,-60.41
168.46,-60.49,-60.49
169.19,-60.55,-60.55
169.92,-60.6,-60.6
170.65,-60.67,-60.67
171.39,-60.76,-60.76
172.12,-60.84,-60.84
172.85,-60.94,-60.94
173.58,-61.08,-61.08
174.32,-61.24,-61.24
175.05,-61.43,-61.43
175.78,-61.63,-61.63
176.51,-61.86,-61.86
177.25,-62.12,-62.12
177.98,-62.42,-62.42
178.71,-62.77,-62.77
179.44,-63.21,-63.21
180.18,-63.78,-63.78
180.91,-64.45,-64.45
181.64,-65.21,-65.21
182.37,-66.05,-66.05
183.11,-66.87,-66.87
183.84,-67.44,-67.44
184.57,-67.62,-67.62
185.3,-67.45,-67.45
186.04,-67.11,-67.11
186.77,-66.68,-66.68
187.5,-66.25,-66.25
188.23,-65.89,-65.89
188.96,-65.61,-65.61
189.7,-65.39,-65.39
190.43,-65.26,-65.26
191.16,-65.23,-65.23
191.89,-65.25,-65.25
192.63,-65.28,-65.28
193.36,-65.31,-65.31
194.09,-65.35,-65.35
194.82,-65.38,-65.38
195.56,-65.4,-65.4
196.29,-65.46,-65.46
197.02,-65.62,-65.62
197.75,-65.89,-65.89
198.49,-66.34,-66.34
199.22,-66.98,-66.98
199.95,-67.75,-67.75
200.68,-68.69,-68.69
201.42,-69.81,-69.81
202.15,-71.12,-71.12
202.88,-72.67,-72.67
203.61,-74.51,-74.51
204.35,-76.56,-76.56
205.08,-78.12,-78.12
205.81,-78.17,-78.17
206.54,-76.7,-76.7
207.28,-74.66,-74.66
208.01,-72.76,-72.76
208.74,-71.25,-71.25
209.47,-70.11,-70.11
210.21,-69.32,-69.32
210.94,-68.84,-68.84
211.67,-68.54,-68.54
212.4,-68.33,-68.33
213.13,-68.11,-68.11
213.87,-67.79,-67.79
214.6,-67.39,-67.39
215.33,-66.95,-66.95
216.06,-66.5,-66.5
216.8,-66.07,-66.07
217.53,-65.64,-65.64
218.26,-65.21,-65.21
218.99,-64.83,-64.83
219.73,-64.48,-64.48
220.46,-64.19,-64.19
221.19,-63.96,-63.96
221.92,-63.78,-63.78
222.66,-63.65,-63.65
223.39,-63.53,-63.53
224.12,-63.44,-63.44
224.85,-63.35,-63.35
225.59,-63.28,-63.28
226.32,-63.21,-63.21
227.05,-63.14,-63.14
227.78,-63.03,-63.03
228.52,-62.9,-62.9
229.25,-62.76,-62.76
229.98,-62.66,-62.66
230.71,-62.62,-62.62
231.45,-62.6,-62.6
232.18,-62.61,-62.61
232.91,-62.67,-62.67
233.64,-62.81,-62.81
234.38,-63.04,-63.04
235.11,-63.38,-63.38
235.84,-63.78,-63.78
236.57,-64.22,-64.22
237.3,-64.68,-64.68
238.04,-65.13,-65.13
238.77,-65.55,-65.55
239.5,-65.92,-65.92
240.23,-66.26,-66.26
240.97,-66.58,-66.58
241.7,-66.87,-66.87
242.43,-67.13,-67.13
243.16,-67.4,-67.4
243.9,-67.68,-67.68
244.63,-67.89,-67.89
245.36,-68.01,-68.01
246.09,-68.03,-68.03
246.83,-67.97,-67.97
247.56,-67.82,-67.82
248.29,-67.56,-67.56
249.02,-67.21,-67.21
249.76,-66.85,-66.85
250.49,-66.56,-66.56
251.22,-66.36,-66.36
251.95,-66.24,-66.24
252.69,-66.17,-66.17
253.42,-66.1,-66.1
254.15,-66.01,-66.01
254.88,-65.9,-65.9
255.62,-65.74,-65.74
256.35,-65.58,-65.58
257.08,-65.42,-65.42
257.81,-65.24,-65.24
258.54,-65.06,-65.06
259.28,-64.9,-64.9
260.01,-64.77,-64.77
260.74,-64.68,-64.68
261.47,-64.64,-64.64
262.21,-64.64,-64.64
262.94,-64.67,-64.67
263.67,-64.79,-64.79
264.4,-64.96,-64.96
265.14,-65.19,-65.19
265.87,-65.48,-65.48
266.6,-65.81,-65.81
267.33,-66.14,-66.14
268.07,-66.45,-66.45
268.8,-66.72,-66.72
269.53,-66.93,-66.93
270.26,-67.06,-67.06
271,-67.07,-67.07
271.73,-66.95,-66.95
272.46,-66.77,-66.77
273.19,-66.58,-66.58
273.93,-66.41,-66.41
274.66,-66.23,-66.23
275.39,-66.07,-66.07
276.12,-65.97,-65.97
276.86,-65.88,-65.88
277.59,-65.82,-65.82
278.32,-65.8,-65.8
279.05,-65.84,-65.84
279.79,-65.91,-65.91
280.52,-65.99,-65.99
281.25,-66.04,-66.04
281.98,-66.04,-66.04
282.71,-65.98,-65.98
