Freq,Channel 1,Average
0,-106.03,-106.03
0.73,-106.87,-106.87
1.46,-107.82,-107.82
2.2,-109.9,-109.9
2.93,-113.25,-113.25
3.66,-114.88,-114.88
4.39,-115.61,-115.61
5.13,-116.46,-116.46
5.86,-115.28,-115.28
6.59,-112.65,-112.65
7.32,-109.9,-109.9
8.06,-107.87,-107.87
8.79,-106.58,-106.58
9.52,-106.39,-106.39
10.25,-106.14,-106.14
10.99,-105.73,-105.73
11.72,-105.85,-105.85
12.45,-104.58,-104.58
13.18,-102.18,-102.18
13.92,-98.98,-98.98
14.65,-96.4,-96.4
15.38,-96.47,-96.47
16.11,-98.33,-98.33
16.85,-100.08,-100.08
17.58,-100.85,-100.85
18.31,-100.62,-100.62
19.04,-99.75,-99.75
19.78,-98.93,-98.93
20.51,-98.98,-98.98
21.24,-100.99,-100.99
21.97,-103.61,-103.61
22.71,-102.64,-102.64
23.44,-100.87,-100.87
24.17,-99.65,-99.65
24.9,-97.49,-97.49
25.63,-94.43,-94.43
26.37,-91.44,-91.44
27.1,-88.8,-88.8
27.83,-86.1,-86.1
28.56,-83.41,-83.41
29.3,-81.33,-81.33
30.03,-80.3,-80.3
30.76,-79.95,-79.95
31.49,-79.35,-79.35
32.23,-78.7,-78.7
32.96,-78.45,-78.45
33.69,-78.25,-78.25
34.42,-77.48,-77.48
35.16,-76.22,-76.22
35.89,-75.48,-75.48
36.62,-75.84,-75.84
37.35,-76.49,-76.49
38.09,-76.19,-76.19
38.82,-75.29,-75.29
39.55,-74.65,-74.65
40.28,-74.61,-74.61
41.02,-75.2,-75.2
41.75,-76.44,-76.44
42.48,-78.77,-78.77
43.21,-82.61,-82.61
43.95,-87.94,-87.94
44.68,-88.96,-88.96
45.41,-85.66,-85.66
46.14,-83.11,-83.11
46.88,-81.61,-81.61
47.61,-80.93,-80.93
48.34,-80.4,-80.4
49.07,-79.53,-79.53
49.8,-78.38,-78.38
50.54,-77.24,-77.24
51.27,-76.12,-76.12
52,-75.03,-75.03
52.73,-73.99,-73.99
53.47,-72.97,-72.97
54.2,-72.01,-72.01
54.93,-71.11,-71.11
55.66,-70.2,-70.2
56.4,-69.29,-69.29
