Freq,Channel 1,Average
0,-95.44,-95.44
0.73,-95,-95
1.46,-95.08,-95.08
2.2,-96.26,-96.26
2.93,-98.15,-98.15
3.66,-100.32,-100.32
4.39,-102.32,-102.32
5.13,-104.33,-104.33
5.86,-106.25,-106.25
6.59,-107.48,-107.48
7.32,-107.68,-107.68
8.06,-107.57,-107.57
8.79,-108.44,-108.44
9.52,-110.02,-110.02
10.25,-110.95,-110.95
10.99,-110.93,-110.93
11.72,-110.45,-110.45
12.45,-109.66,-109.66
13.18,-109.17,-109.17
13.92,-108.86,-108.86
14.65,-108.43,-108.43
15.38,-108.33,-108.33
16.11,-108.88,-108.88
16.85,-109.88,-109.88
17.58,-109.92,-109.92
18.31,-109.76,-109.76
19.04,-109.6,-109.6
19.78,-108.82,-108.82
20.51,-108.81,-108.81
21.24,-109.86,-109.86
21.97,-110.3,-110.3
22.71,-108.02,-108.02
23.44,-105.49,-105.49
24.17,-103.41,-103.41
24.9,-100.28,-100.28
25.63,-96.66,-96.66
26.37,-93.77,-93.77
27.1,-91.58,-91.58
27.83,-89.13,-89.13
28.56,-86.43,-86.43
29.3,-84.38,-84.38
30.03,-83.38,-83.38
30.76,-82.97,-82.97
31.49,-82.29,-82.29
32.23,-81.63,-81.63
32.96,-81.4,-81.4
33.69,-81.27,-81.27
34.42,-80.57,-80.57
35.16,-79.39,-79.39
35.89,-78.64,-78.64
36.62,-78.9,-78.9
37.35,-79.48,-79.48
38.09,-79.2,-79.2
38.82,-78.31,-78.31
39.55,-77.67,-77.67
40.28,-77.66,-77.66
41.02,-78.19,-78.19
41.75,-79.41,-79.41
42.48,-81.74,-81.74
43.21,-85.62,-85.62
43.95,-91.11,-91.11
44.68,-92.41,-92.41
45.41,-88.82,-88.82
46.14,-86.07,-86.07
46.88,-84.57,-84.57
47.61,-83.92,-83.92
48.34,-83.45,-83.45
49.07,-82.61,-82.61
49.8,-81.49,-81.49
50.54,-80.27,-80.27
51.27,-79.07,-79.07
52,-77.98,-77.98
52.73,-76.96,-76.96
53.47,-75.94,-75.94
54.2,-74.97,-74.97
54.93,-74.06,-74.06
55.66,-73.16,-73.16
56.4,-72.27,-72.27
57.13,-71.43,-71.43
57.86,-70.67,-70.67
58.59,-69.92,-69.92
59.33,-69.13,-69.13
60.06,-68.21,-68.21
60.79,-67.12,-67.12
61.52,-66.1,-66.1
62.26,-65.41,-65.41
62.99,-64.88,-64.88
63.72,-64.19,-64.19
64.45,-63.56,-63.56
65.19,-63.4,-63.4
65.92,-63.8,-63.8
66.65,-64.58,-64.58
67.38,-65.51,-65.51
68.12,-66.46,-66.46
68.85,-67.32,-67.32
69.58,-68.01,-68.01
70.31,-68.64,-68.64
71.04,-69.32,-69.32
71.78,-70.07,-70.07
72.51,-70.78,-70.78
73.24,-71.45,-71.45
73.97,-72.11,-72.11
74.71,-72.7,-72.7
75.44,-73.01,-73.01
76.17,-72.97,-72.97
76.9,-72.79,-72.79
77.64,-72.71,-72.71
78.37,-72.82,-72.82
79.1,-73.09,-73.09
79.83,-73.47,-73.47
80.57,-73.94,-73.94
81.3,-74.35,-74.35
82.03,-74.65,-74.65
82.76,-74.91,-74.91
83.5,-75.25,-75.25
84.23,-75.7,-75.7
84.96,-76.37,-76.37
85.69,-77.31,-77.31
86.43,-78.33,-78.33
87.16,-79.07,-79.07
87.89,-79.49,-79.49
88.62,-79.69,-79.69
89.36,-79.77,-79.77
90.09,-79.67,-79.67
90.82,-79.55,-79.55
91.55,-79.33,-79.33
92.29,-79.05,-79.05
93.02,-79,-79
93.75,-79.27,-79.27
94.48,-79.83,-79.83
95.21,-80.62,-80.62
95.95,-81.74,-81.74
96.68,-83.09,-83.09
97.41,-84.57,-84.57
98.14,-86.57,-86.57
98.88,-89.17,-89.17
99.61,-91.49,-91.49
100.34,-92.27,-92.27
101.07,-91.98,-91.98
101.81,-91.83,-91.83
102.54,-91.5,-91.5
103.27,-90.36,-90.36
104,-88.58,-88.58
104.74,-87.12,-87.12
105.47,-86.25,-86.25
106.2,-85.45,-85.45
106.93,-84.49,-84.49
107.67,-83.5,-83.5
108.4,-82.29,-82.29
109.13,-80.9,-80.9
109.86,-79.43,-79.43
110.6,-77.95,-77.95
111.33,-76.67,-76.67
112.06,-75.59,-75.59
112.79,-74.79,-74.79
113.53,-74.18,-74.18
114.26,-73.61,-73.61
114.99,-73.08,-73.08
115.72,-72.55,-72.55
116.46,-72.17,-72.17
117.19,-72.14,-72.14
117.92,-72.3,-72.3
118.65,-72.42,-72.42
119.38,-72.48,-72.48
120.12,-72.45,-72.45
120.85,-72.46,-72.46
121.58,-72.53,-72.53
122.31,-72.49,-72.49
123.05,-72.32,-72.32
123.78,-72.1,-72.1
