Freq,Channel 1,Average
0,-112.95,-112.95
0.73,-112.53,-112.53
1.46,-113.54,-113.54
2.2,-115.41,-115.41
2.93,-115.93,-115.93
3.66,-116.35,-116.35
4.39,-116.79,-116.79
5.13,-117.28,-117.28
5.86,-115.7,-115.7
6.59,-112.85,-112.85
7.32,-109.19,-109.19
8.06,-106.83,-106.83
8.79,-105.89,-105.89
9.52,-106.56,-106.56
10.25,-107.8,-107.8
10.99,-108.03,-108.03
11.72,-107.4,-107.4
12.45,-106.21,-106.21
13.18,-105.77,-105.77
13.92,-105.92,-105.92
14.65,-103.47,-103.47
15.38,-100.59,-100.59
16.11,-100.41,-100.41
16.85,-101.48,-101.48
17.58,-101.84,-101.84
18.31,-101.15,-101.15
19.04,-101.16,-101.16
19.78,-101.85,-101.85
20.51,-101.55,-101.55
21.24,-101.8,-101.8
21.97,-103.57,-103.57
22.71,-103.66,-103.66
23.44,-102.17,-102.17
24.17,-100.79,-100.79
24.9,-98.2,-98.2
25.63,-94.89,-94.89
26.37,-91.75,-91.75
27.1,-88.97,-88.97
27.83,-86.26,-86.26
28.56,-83.49,-83.49
29.3,-81.42,-81.42
30.03,-80.42,-80.42
30.76,-80.03,-80.03
31.49,-79.37,-79.37
32.23,-78.68,-78.68
32.96,-78.47,-78.47
33.69,-78.34,-78.34
34.42,-77.62,-77.62
35.16,-76.38,-76.38
35.89,-75.68,-75.68
36.62,-76.03,-76.03
37.35,-76.59,-76.59
38.09,-76.23,-76.23
38.82,-75.35,-75.35
39.55,-74.73,-74.73
40.28,-74.75,-74.75
41.02,-75.35,-75.35
41.75,-76.6,-76.6
42.48,-78.86,-78.86
43.21,-82.57,-82.57
43.95,-87.94,-87.94
44.68,-89.52,-89.52
45.41,-86.09,-86.09
46.14,-83.42,-83.42
46.88,-81.86,-81.86
47.61,-81.19,-81.19
48.34,-80.71,-80.71
49.07,-79.87,-79.87
49.8,-78.79,-78.79
50.54,-77.6,-77.6
51.27,-76.39,-76.39
52,-75.29,-75.29
52.73,-74.26,-74.26
53.47,-73.23,-73.23
54.2,-72.25,-72.25
54.93,-71.33,-71.33
55.66,-70.43,-70.43
56.4,-69.54,-69.54
