Freq,Channel 1,Average
0,-112.95,-112.95
0.73,-112.92,-112.92
1.46,-114.27,-114.27
2.2,-115.76,-115.76
2.93,-116.04,-116.04
3.66,-115.95,-115.95
4.39,-115.8,-115.8
5.13,-115.83,-115.83
5.86,-114.39,-114.39
6.59,-111.75,-111.75
7.32,-109.32,-109.32
8.06,-108.49,-108.49
8.79,-108.95,-108.95
9.52,-109.03,-109.03
10.25,-108.73,-108.73
10.99,-108.81,-108.81
11.72,-108.38,-108.38
12.45,-107.19,-107.19
13.18,-107.03,-107.03
13.92,-108.01,-108.01
14.65,-106.91,-106.91
15.38,-104.72,-104.72
16.11,-103.92,-103.92
16.85,-104.33,-104.33
17.58,-104.9,-104.9
18.31,-105.29,-105.29
19.04,-105.08,-105.08
19.78,-104.35,-104.35
20.51,-104.28,-104.28
21.24,-105.12,-105.12
21.97,-106.21,-106.21
22.71,-104.35,-104.35
23.44,-101.94,-101.94
24.17,-100.41,-100.41
24.9,-97.85,-97.85
25.63,-94.39,-94.39
26.37,-91.14,-91.14
27.1,-88.43,-88.43
27.83,-85.74,-85.74
28.56,-82.95,-82.95
29.3,-80.85,-80.85
30.03,-79.82,-79.82
30.76,-79.32,-79.32
31.49,-78.67,-78.67
32.23,-78.08,-78.08
32.96,-77.61,-77.61
33.69,-76.55,-76.55
34.42,-75.3,-75.3
35.16,-74.91,-74.91
35.89,-75.04,-75.04
36.62,-75.58,-75.58
37.35,-76.1,-76.1
38.09,-75.78,-75.78
38.82,-74.88,-74.88
39.55,-74.23,-74.23
40.28,-74.22,-74.22
41.02,-74.77,-74.77
41.75,-76,-76
42.48,-78.34,-78.34
43.21,-82.17,-82.17
43.95,-87.72,-87.72
44.68,-89.31,-89.31
45.41,-85.65,-85.65
46.14,-82.88,-82.88
46.88,-81.33,-81.33
47.61,-80.69,-80.69
48.34,-80.18,-80.18
49.07,-79.31,-79.31
49.8,-78.22,-78.22
50.54,-77.04,-77.04
51.27,-75.86,-75.86
52,-74.76,-74.76
52.73,-73.72,-73.72
53.47,-72.68,-72.68
54.2,-71.71,-71.71
54.93,-70.8,-70.8
55.66,-69.9,-69.9
56.4,-69.01,-69.01
57.13,-68.18,-68.18
57.86,-67.45,-67.45
58.59,-66.72,-66.72
59.33,-65.88,-65.88
60.06,-64.94,-64.94
60.79,-63.88,-63.88
61.52,-62.9,-62.9
62.26,-62.22,-62.22
62.99,-61.69,-61.69
63.72,-61,-61
64.45,-60.36,-60.36
65.19,-60.17,-60.17
65.92,-60.54,-60.54
66.65,-61.3,-61.3
67.38,-62.23,-62.23
68.12,-63.18,-63.18
68.85,-64.02,-64.02
69.58,-64.72,-64.72
70.31,-65.35,-65.35
71.04,-66.03,-66.03
71.78,-66.75,-66.75
