Freq,Channel 1,Average
0,-112.9,-112.9
0.73,-112.22,-112.22
1.46,-112.88,-112.88
2.2,-114.97,-114.97
2.93,-116.28,-116.28
3.66,-116.67,-116.67
4.39,-116.61,-116.61
5.13,-116.4,-116.4
5.86,-114.59,-114.59
6.59,-113.11,-113.11
7.32,-110.95,-110.95
8.06,-108.97,-108.97
8.79,-108.24,-108.24
9.52,-107.98,-107.98
10.25,-108.01,-108.01
10.99,-108.23,-108.23
11.72,-107.09,-107.09
12.45,-105.06,-105.06
13.18,-104.14,-104.14
13.92,-104.49,-104.49
14.65,-103.34,-103.34
15.38,-101.61,-101.61
16.11,-102.84,-102.84
16.85,-105.14,-105.14
17.58,-105.43,-105.43
18.31,-105.5,-105.5
19.04,-105.85,-105.85
19.78,-106,-106
20.51,-105.93,-105.93
21.24,-106.77,-106.77
21.97,-107.34,-107.34
22.71,-104.92,-104.92
23.44,-102.64,-102.64
24.17,-101.46,-101.46
24.9,-98.75,-98.75
25.63,-94.84,-94.84
26.37,-91.46,-91.46
27.1,-88.75,-88.75
27.83,-86.14,-86.14
28.56,-83.42,-83.42
29.3,-81.33,-81.33
30.03,-80.34,-80.34
30.76,-79.98,-79.98
31.49,-79.32,-79.32
32.23,-78.66,-78.66
32.96,-78.46,-78.46
33.69,-78.27,-78.27
34.42,-77.51,-77.51
35.16,-76.3,-76.3
35.89,-75.63,-75.63
36.62,-75.94,-75.94
37.35,-76.5,-76.5
38.09,-76.22,-76.22
38.82,-75.35,-75.35
39.55,-74.67,-74.67
40.28,-74.64,-74.64
41.02,-75.19,-75.19
41.75,-76.45,-76.45
42.48,-78.82,-78.82
43.21,-82.68,-82.68
43.95,-88.26,-88.26
44.68,-89.61,-89.61
45.41,-85.98,-85.98
46.14,-83.23,-83.23
46.88,-81.67,-81.67
47.61,-80.99,-80.99
48.34,-80.45,-80.45
49.07,-79.57,-79.57
49.8,-78.46,-78.46
50.54,-77.27,-77.27
51.27,-76.1,-76.1
52,-75.01,-75.01
52.73,-73.98,-73.98
53.47,-72.96,-72.96
54.2,-71.99,-71.99
54.93,-71.09,-71.09
55.66,-70.2,-70.2
56.4,-69.31,-69.31
57.13,-68.48,-68.48
57.86,-67.73,-67.73
58.59,-66.99,-66.99
59.33,-66.19,-66.19
60.06,-65.26,-65.26
60.79,-64.2,-64.2
61.52,-63.21,-63.21
62.26,-62.53,-62.53
62.99,-62.01,-62.01
63.72,-61.34,-61.34
64.45,-60.69,-60.69
65.19,-60.48,-60.48
65.92,-60.83,-60.83
66.65,-61.6,-61.6
67.38,-62.54,-62.54
68.12,-63.5,-63.5
68.85,-64.36,-64.36
69.58,-65.05,-65.05
70.31,-65.69,-65.69
71.04,-66.37,-66.37
71.78,-67.11,-67.11
72.51,-67.82,-67.82
73.24,-68.48,-68.48
73.97,-69.13,-69.13
74.71,-69.72,-69.72
75.44,-70.04,-70.04
76.17,-70,-70
76.9,-69.84,-69.84
77.64,-69.75,-69.75
78.37,-69.83,-69.83
79.1,-70.12,-70.12
79.83,-70.55,-70.55
80.57,-71.01,-71.01
81.3,-71.43,-71.43
82.03,-71.74,-71.74
82.76,-71.98,-71.98
83.5,-72.3,-72.3
84.23,-72.8,-72.8
84.96,-73.52,-73.52
85.69,-74.48,-74.48
86.43,-75.56,-75.56
87.16,-76.52,-76.52
87.89,-77.09,-77.09
88.62,-77.3,-77.3
89.36,-77.27,-77.27
90.09,-76.97,-76.97
90.82,-76.71,-76.71
91.55,-76.43,-76.43
92.29,-76.14,-76.14
93.02,-76.11,-76.11
93.75,-76.44,-76.44
94.48,-77.06,-77.06
95.21,-78.05,-78.05
95.95,-79.36,-79.36
96.68,-80.9,-80.9
97.41,-82.77,-82.77
98.14,-85.11,-85.11
98.88,-88.06,-88.06
99.61,-90.95,-90.95
100.34,-91.36,-91.36
101.07,-90.41,-90.41
